IEEE,SR_V1,SR_V2,DSR,CDSR,VICON,TIME
71.0,71.0,71.0,71.0,71.0,87.1750,1409276.0
71.0,71.0,71.0,71.0,71.0,87.1864,1409292.3333333333
71.0,71.0,71.0,71.0,71.0,87.1867,1409308.6666666667
71.0,72.0,72.0,72.0,72.0,87.1767,1409325.0
71.0,72.0,72.0,72.0,72.0,87.1748,1409341.3333333333
71.0,72.0,72.0,72.0,72.0,87.1723,1409357.6666666667
74.0,74.0,74.0,76.0,79.0,87.1768,1409374.0
74.0,74.0,74.0,76.0,80.3,87.1728,1409390.3333333333
74.0,74.0,74.0,76.0,81.6,87.1859,1409406.6666666667
74.0,74.0,74.0,74.0,74.0,87.1741,1409423.0
74.0,74.0,74.0,74.0,74.0,87.1879,1409440.0
74.0,74.0,74.0,74.0,74.0,87.1885,1409457.0
72.0,72.0,72.0,74.0,74.0,87.1532,1409474.0
72.0,72.0,72.0,74.0,74.0,87.1865,1409491.0
72.0,72.0,72.0,74.0,74.0,87.1747,1409508.0
72.0,72.0,72.0,73.0,73.0,87.1747,1409525.0
72.0,72.0,72.0,73.0,73.0,87.1720,1409542.0
72.0,72.0,72.0,73.0,73.0,87.1758,1409559.0
74.0,74.0,74.0,75.0,75.0,87.1799,1409576.0
74.0,74.0,74.0,75.0,75.0,87.1725,1409592.6666666667
74.0,74.0,74.0,75.0,75.0,87.1868,1409609.3333333333
74.0,72.0,72.0,73.0,73.0,87.1780,1409626.0
74.0,72.0,72.0,73.0,73.0,87.1731,1409642.0
74.0,72.0,72.0,73.0,73.0,87.1710,1409658.0
71.0,71.0,71.0,71.0,71.0,87.1802,1409674.0
71.0,71.0,71.0,71.0,71.0,87.1730,1409690.3333333333
71.0,71.0,71.0,71.0,71.0,87.1707,1409706.6666666667
71.0,71.0,71.0,73.0,73.0,87.1731,1409723.0
71.0,71.0,71.0,73.0,73.0,87.1816,1409740.3333333333
71.0,71.0,71.0,73.0,73.0,87.1890,1409757.6666666667
71.0,71.0,71.0,71.0,71.0,87.1807,1409775.0
71.0,71.0,71.0,71.0,71.0,87.1956,1409791.0
71.0,71.0,71.0,71.0,71.0,87.1731,1409807.0
71.0,72.0,72.0,73.0,73.0,87.1739,1409823.0
71.0,72.0,72.0,73.0,73.0,87.1710,1409840.0
71.0,72.0,72.0,73.0,73.0,87.1723,1409857.0
74.0,74.0,74.0,75.0,76.5,87.1832,1409874.0
74.0,74.0,74.0,75.0,77.1,87.1781,1409891.6666666667
74.0,74.0,74.0,75.0,77.8,87.1758,1409909.3333333333
74.0,76.0,76.0,76.0,76.8,87.1763,1409927.0
74.0,76.0,76.0,76.0,77.1,87.1773,1409943.3333333333
74.0,76.0,76.0,76.0,77.4,87.1757,1409959.6666666667
72.0,72.0,72.0,73.0,73.0,87.1734,1409976.0
72.0,72.0,72.0,73.0,73.0,87.1669,1409992.3333333333
72.0,72.0,72.0,73.0,73.0,87.1758,1410008.6666666667
72.0,71.0,71.0,71.0,71.0,87.1835,1410025.0
72.0,71.0,71.0,71.0,71.0,87.1698,1410041.3333333333
72.0,71.0,71.0,71.0,71.0,87.1814,1410057.6666666667
74.0,74.0,74.0,76.0,76.0,87.1755,1410074.0
74.0,74.0,74.0,76.0,76.0,87.1751,1410090.3333333333
74.0,74.0,74.0,76.0,76.0,87.1738,1410106.6666666667
74.0,70.0,70.0,68.0,68.0,87.1873,1410123.0
74.0,70.0,70.0,68.0,68.0,87.1771,1410140.0
74.0,70.0,70.0,68.0,68.0,87.1838,1410157.0
69.0,69.0,69.0,69.0,69.0,87.1752,1410174.0
69.0,69.0,69.0,69.0,69.0,87.1793,1410191.0
69.0,69.0,69.0,69.0,69.0,87.1636,1410208.0
69.0,73.0,73.0,73.0,76.0,87.1733,1410225.0
69.0,73.0,73.0,73.0,77.3,87.1733,1410242.0
69.0,73.0,73.0,73.0,78.6,87.1814,1410259.0
68.0,68.0,68.0,68.0,68.0,87.1780,1410276.0
68.0,68.0,68.0,68.0,68.0,87.1664,1410295.6666666667
68.0,68.0,68.0,68.0,68.0,87.1748,1410315.3333333333
68.0,70.0,70.0,73.0,73.0,87.1758,1410335.0
68.0,70.0,70.0,73.0,73.0,87.1862,1410348.6666666667
68.0,70.0,70.0,73.0,73.0,87.1756,1410362.3333333333
71.0,71.0,71.0,73.0,73.0,87.1886,1410376.0
71.0,71.0,71.0,73.0,73.0,87.1841,1410392.6666666667
71.0,71.0,71.0,73.0,73.0,87.1822,1410409.3333333333
71.0,72.0,72.0,73.0,73.0,87.1878,1410426.0
71.0,72.0,72.0,73.0,73.0,87.1701,1410442.0
71.0,72.0,72.0,73.0,73.0,87.1837,1410458.0
69.0,69.0,69.0,70.0,70.0,87.1752,1410474.0
69.0,69.0,69.0,70.0,70.0,87.1670,1410491.0
69.0,69.0,69.0,70.0,70.0,87.1695,1410508.0
69.0,70.0,70.0,71.0,71.0,87.1695,1410525.0
69.0,70.0,70.0,71.0,71.0,87.1748,1410542.3333333333
69.0,70.0,70.0,71.0,71.0,87.1748,1410559.6666666667
72.0,72.0,72.0,73.0,73.0,87.1721,1410577.0
